country,artist_name,revenue
Argentina,AC/DC,0.99
Australia,Aerosmith,14.850000000000001
Austria,"Black Label Society",2.9699999999999998
Belgium,Aerosmith,1.98
Brazil,"Ant̫nio Carlos Jobim",13.860000000000001
Canada,Aerosmith,21.779999999999994
Chile,Aerosmith,2.9699999999999998
"Czech Republic",AC/DC,4.95
Denmark,AC/DC,1.98
Denmark,Audioslave,1.98
Finland,AC/DC,2.9699999999999998
France,Aerosmith,5.94
France,"Alice In Chains",5.94
France,"Black Sabbath",5.94
Germany,Audioslave,16.830000000000002
Hungary,Audioslave,1.98
India,"Alice In Chains",3.96
Ireland,"Black Sabbath",0.99
Ireland,AC/DC,0.99
Ireland,Aerosmith,0.99
Italy,Aerosmith,0.99
Italy,"Alice In Chains",0.99
Italy,AC/DC,0.99
Netherlands,"Alice In Chains",1.98
Netherlands,"Buddy Guy",1.98
Norway,"Black Sabbath",1.98
Poland,"Buddy Guy",10.89
Portugal,"Alanis Morissette",12.870000000000001
Spain,Apocalyptica,1.98
Spain,"Black Sabbath",1.98
Sweden,"Alanis Morissette",2.9699999999999998
"United Kingdom",AC/DC,28.709999999999983
USA,AC/DC,28.709999999999983
