billing_country,total_invoices,total_revenue,avg_invoice_value
USA,131,1040.4899999999998,7.94
Canada,76,535.5900000000001,7.05
Brazil,61,427.68000000000006,7.01
France,50,389.0699999999999,7.78
Germany,41,334.62,8.16
"Czech Republic",30,273.24000000000007,9.11
"United Kingdom",28,245.52,8.77
Portugal,29,185.13000000000002,6.38
India,21,183.14999999999998,8.72
Ireland,13,114.83999999999997,8.83
Spain,11,98.01,8.91
Chile,13,97.02000000000001,7.46
Australia,10,81.18,8.12
Finland,11,79.2,7.2
Hungary,10,78.21,7.82
Poland,10,76.22999999999999,7.62
Sweden,10,75.24,7.52
Norway,9,72.27000000000001,8.03
Austria,9,69.3,7.7
Netherlands,10,65.34,6.53
Belgium,7,60.38999999999999,8.63
Italy,9,50.49,5.61
Argentina,5,39.6,7.92
Denmark,10,37.61999999999999,3.76
